hidden_size,batchsize,L2_reg,warm up steps,mode,acc on test dataset
128,64,0.005,0,cos,0.5411
256,128,0.005,10,cos,0.5517
128,128,0.005,0,cos,0.5429
256,64,0.001,10,cos,0.5381
256,64,0.005,10,step,0.5486
128,128,0.005,0,step,0.5339
128,64,0.005,10,cos,0.5479
128,64,0.001,10,step,0.5168
128,128,0.005,10,step,0.5335
256,128,0.001,0,step,0.5301
128,128,0.001,0,cos,0.5163
256,128,0.001,10,cos,0.537
128,128,0.001,0,step,0.5202
256,64,0.005,0,cos,0.5501
128,64,0.001,0,step,0.5196
256,64,0.001,0,step,0.5377
128,64,0.001,0,cos,0.5149
256,128,0.005,0,cos,0.5504
256,64,0.005,10,cos,0.5528
256,128,0.005,10,step,0.5438
128,64,0.005,0,step,0.5393
256,128,0.005,0,step,0.5413
256,64,0.005,0,step,0.5507
128,64,0.001,10,cos,0.515
256,64,0.001,0,cos,0.5328
256,128,0.001,0,cos,0.535
128,64,0.005,10,step,0.5369
256,64,0.001,10,step,0.5372
128,128,0.001,10,cos,0.5199
128,128,0.001,10,step,0.52
128,128,0.005,10,cos,0.5401
256,128,0.001,10,step,0.531
